"missingness_level","imputation_method","estimator","mean_rmse","sd_rmse","se_rmse"
"0","none","s_learner_rf",0.0644339103105404,0.0064452049739368,0.000203815277042865
"0","none","t_learner_rf",0.137553221544498,0.00997739245110827,0.000315512852548723
"0","none","x_learner_rf",0.10035216371019,0.00925429650286867,0.000292646550915959
"0","none","causal_forest",0.0626011323651561,0.00788332603839736,0.000249292658190477
"0.1","cca","s_learner_rf",0.0634725859424342,0.00744966235358055,0.000235579008365252
"0.1","cca","t_learner_rf",0.141028676303165,0.0112199031201331,0.000354804489860505
"0.1","cca","x_learner_rf",0.103873396510709,0.0106335199412387,0.000336261425591341
"0.1","cca","causal_forest",0.0636763077381712,0.00939563385794071,0.000297116030520876
"0.1","mean_mode","s_learner_rf",0.0659963121923283,0.00636660236815486,0.000201329644399912
"0.1","mean_mode","t_learner_rf",0.138766415543471,0.00972753736413523,0.000307611740950581
"0.1","mean_mode","x_learner_rf",0.101750016987145,0.00915535263528648,0.000289517671095301
"0.1","mean_mode","causal_forest",0.0636494788463261,0.0079050779771409,0.000249980514890017
"0.1","mice","s_learner_rf",0.0656967568573004,0.00633216475655632,0.000200240631501636
"0.1","mice","t_learner_rf",0.139126942080953,0.00979045118151511,0.000309601250542744
"0.1","mice","x_learner_rf",0.101966994098444,0.0090918008250272,0.00028750798639684
"0.1","mice","causal_forest",0.0634638943382302,0.0078837873947718,0.000249307247560039
"0.5","cca","s_learner_rf",0.0608015071477206,0.0106141369700311,0.000335648482222966
"0.5","cca","t_learner_rf",0.16586094290423,0.0217090111778327,0.000686499210720059
"0.5","cca","x_learner_rf",0.127402879975694,0.0203467550732714,0.000643420890251238
"0.5","cca","causal_forest",0.0746150150261594,0.0205586786888904,0.000650122503404577
"0.5","mean_mode","s_learner_rf",0.0719647060523736,0.00742930130067797,0.000234935135337938
"0.5","mean_mode","t_learner_rf",0.14734337568689,0.0103550798648864,0.000327456377259896
"0.5","mean_mode","x_learner_rf",0.109670204761676,0.00966048736857108,0.000305491433919712
"0.5","mean_mode","causal_forest",0.0666811007838194,0.00774930586227328,0.000245054568100786
"0.5","mice","s_learner_rf",0.069607892310333,0.00667326598447182,0.000211027199430568
"0.5","mice","t_learner_rf",0.144296778283014,0.00999572702002696,0.000316092642525727
"0.5","mice","x_learner_rf",0.107435140570389,0.00953890071773284,0.000301646526422507
"0.5","mice","causal_forest",0.0662190431667566,0.00765412584873744,0.000242044711795797
"0.7","cca","s_learner_rf",0.0588633804953313,0.015778914205521,0.000498973078938325
"0.7","cca","t_learner_rf",0.190347150661982,0.0374755482416689,0.00118508089007192
"0.7","cca","x_learner_rf",0.149843834534184,0.0348309886990961,0.00110145257444729
"0.7","cca","causal_forest",0.0888417749024176,0.038679396043434,0.00122314990016956
"0.7","mean_mode","s_learner_rf",0.0755007749669114,0.00856699848715649,0.000270912279306313
"0.7","mean_mode","t_learner_rf",0.152989296815618,0.0104456109056642,0.00033031922013793
"0.7","mean_mode","x_learner_rf",0.114422468310265,0.0098460101905266,0.000311358180672925
"0.7","mean_mode","causal_forest",0.0678845139093506,0.0078770131699543,0.000249093027761986
"0.7","mice","s_learner_rf",0.0709256567026336,0.00680756939452688,0.000215274246163583
"0.7","mice","t_learner_rf",0.146152850247329,0.0101209135413874,0.000320051387924251
"0.7","mice","x_learner_rf",0.109271980851733,0.00946558991063389,0.000299328235147127
"0.7","mice","causal_forest",0.0671292990184626,0.00792859395983701,0.000250724155557385
